JUNC,SURF,LITE,VEH1TYPE,VEH2TYPE,Hour,VEH1AGE,VEH2AGE,VEH1RESTRAINT,VEH2RESTRAINT,VEH1TESTRESULT,VEH2TESTRESULT,StateFunctionalClassCode,NumofGroupofFirstCollisionType,VEH1AIRBAG,VEH2AIRBAG,VEH1CCCODE1,VEH2CCCODE1,Injury
1,1,1,2,2,11,21,67,4,4,0,0,U1,9,1,1,23,18,0
4,1,1,1,1,15,17,29,4,4,0,0,U1,9,1,1,50,18,0
4,2,4,2,2,5,40,60,4,4,0,0,U1,9,1,1,4,18,0
4,2,4,2,2,6,63,69,4,4,0,0,U1,9,1,1,4,18,0
4,1,1,1,2,16,18,43,4,4,0,0,U1,9,4,1,23,18,1
6,9,1,12,0,9,32,0,0,0,0,0,U1,6,0,0,23,0,0
1,1,1,2,2,10,26,71,4,4,0,0,U1,11,1,1,6,18,0
1,1,1,1,2,15,73,56,4,4,0,0,U1,9,1,1,4,18,1
2,1,1,2,1,13,31,53,4,4,0,0,U1,5,1,4,51,18,1
1,1,1,1,2,12,67,20,4,4,0,0,U1,1,4,1,5,18,2
1,2,4,2,0,0,17,0,0,0,0,0,U1,2,0,0,1,0,0
4,1,4,2,2,17,67,80,4,4,0,0,U1,5,1,1,7,18,0
1,2,4,1,2,23,26,34,4,4,0.29,0,U1,9,1,1,1,18,1
1,2,4,2,1,18,51,47,4,4,0,0,U1,1,1,1,11,18,0
1,1,4,1,2,18,41,28,4,4,0.21,0,U1,9,1,1,1,18,2
1,1,1,11,2,15,60,65,0,4,0,0,U1,10,0,1,10,18,0
4,1,4,1,2,20,20,25,4,4,0,0,U1,9,1,1,7,18,1
3,2,1,1,1,12,81,25,4,4,0,0,U1,4,1,1,5,18,1
2,2,3,2,1,17,42,55,4,4,0,0,U1,9,1,1,7,18,0
1,1,1,1,2,14,59,56,4,4,0,0,U1,9,4,4,23,18,1
2,1,1,1,2,15,17,55,4,4,0,0,U1,9,1,1,23,52,1
4,1,1,2,2,16,40,52,4,4,0,0,U1,9,1,1,7,18,0
1,1,1,2,2,9,35,21,4,4,0,0,U1,11,1,0,6,18,0
1,1,1,1,2,15,19,33,4,4,0,0,U1,1,1,1,5,18,0
1,2,1,2,2,11,70,58,4,4,0,0,U1,1,4,4,10,18,1
1,1,1,2,1,11,61,23,4,4,0,0,U1,10,1,1,5,18,0
6,1,4,1,0,20,50,0,4,0,0,0,U1,2,1,0,1,0,0
1,1,4,1,1,17,21,62,4,4,0,0,U1,1,1,1,23,18,0
4,1,9,1,0,7,0,0,0,0,0,0,U1,2,0,0,17,0,0
4,2,4,1,0,18,63,0,4,0,0,0,U5,2,1,0,23,0,0
5,1,1,12,0,14,26,0,0,0,0,0,U1,2,0,0,17,0,2
4,2,4,1,0,0,19,0,4,0,0,0,U1,2,1,0,16,0,0
4,1,1,2,1,14,59,33,4,4,0,0,U1,9,1,1,23,18,0
1,2,4,1,0,0,23,0,4,0,0,0,U1,2,1,0,18,0,0
1,1,3,2,2,18,33,67,4,4,0,0,U1,9,4,1,7,18,2
3,1,1,2,1,13,50,37,4,4,0,0,U1,4,1,4,5,18,0
1,2,1,2,1,13,55,66,4,4,0,0,U1,11,1,1,5,18,0
1,1,1,2,1,14,67,54,4,4,0,0,U5,5,1,1,31,18,0
