JUNC,SURF,LITE,VEH1TYPE,VEH2TYPE,Hour,VEH1AGE,VEH2AGE,VEH1RESTRAINT,VEH2RESTRAINT,VEH1TESTRESULT,VEH2TESTRESULT,StateFunctionalClassCode,NumofGroupofFirstCollisionType,VEH1AIRBAG,VEH2AIRBAG,VEH1CCCODE1,VEH2CCCODE1,Injury
4,1,4,2,2,17,54,34,4,4,0,0,U5,9,1,1,23,23,0
3,2,4,1,3,18,52,63,4,4,0,0,U1,1,1,1,5,18,0
4,1,4,1,1,17,35,45,4,4,0,0,U1,9,1,1,7,18,1
6,1,4,1,1,20,20,61,4,4,0,0,U1,1,1,1,14,18,0
7,1,4,2,2,19,50,0,4,0,0.19,0,U1,7,1,0,1,0,0
6,1,4,1,0,21,30,0,4,0,0,0,U1,2,5,0,23,0,1
1,4,4,1,2,7,33,51,4,4,0,0,U1,4,5,4,23,18,2
4,4,4,1,1,6,29,28,4,4,0,0,U1,9,4,1,7,18,0
4,2,4,1,1,6,44,57,4,4,0,0,U1,11,1,1,5,18,0
4,1,1,1,2,10,65,0,4,0,0,0,U1,11,1,0,18,5,0
4,1,1,2,2,11,64,26,4,4,0,0,U5,9,1,1,4,18,0
4,1,4,1,2,6,45,55,4,4,0,0,U5,9,1,1,7,18,0
4,1,1,14,0,11,68,0,4,0,0,0,U5,2,1,0,16,0,0
4,4,1,2,2,7,22,56,4,4,0,0,U5,10,4,1,4,18,1
1,1,5,1,2,15,0,19,0,4,0,0,U1,9,0,1,17,18,1
1,1,4,2,2,20,56,29,0,4,0,0,U1,2,1,1,1,18,0
1,2,1,2,2,16,41,59,4,4,0,0,U2,9,1,1,7,18,1
6,2,1,2,1,10,47,48,4,4,0,0,U2,1,1,4,5,18,1
4,2,6,2,1,19,21,69,4,4,0,0,U1,5,1,1,20,18,0
3,1,1,2,1,15,21,51,4,4,0,0,U1,4,4,1,5,18,0
7,1,4,2,1,19,47,33,4,4,0,0,U1,11,1,1,5,18,1
1,1,1,1,2,13,28,39,4,4,0,0,U1,11,1,1,5,18,0
1,1,1,2,1,12,36,33,2,4,0,0,U1,9,1,1,23,18,1
1,1,4,2,2,17,0,54,0,4,0,0,U1,1,0,1,10,18,0
3,1,1,1,2,12,47,50,4,4,0,0,U1,1,1,1,5,18,0
1,2,4,2,2,0,19,32,0,2,0,0,U1,1,0,1,1,18,0
1,2,4,2,1,22,68,19,4,4,0,0,U1,9,1,1,7,18,1
1,1,1,2,1,12,39,45,4,4,0,0,U1,9,1,1,7,18,1
1,8,2,1,1,6,56,25,4,4,0,0,U1,1,1,1,16,18,0
2,1,1,2,1,11,51,52,4,4,0,0,U1,9,1,1,23,18,1
1,1,1,2,1,13,45,50,4,4,0,0,U1,9,1,1,51,18,1
6,1,1,1,2,15,32,46,0,0,0,0,U1,1,1,1,5,18,0
4,4,6,7,0,3,31,0,4,0,0,0,U5,2,0,0,4,0,0
4,4,6,1,1,4,20,63,4,4,0,0,U5,9,1,1,4,18,1
1,1,1,1,2,15,0,54,0,4,0,0,U1,9,0,1,17,18,0
1,1,4,2,1,20,39,45,4,4,0,0,U1,9,1,1,17,17,0
3,1,1,2,2,15,19,52,4,4,0,0,U1,9,1,1,23,18,0
4,1,4,1,1,17,51,25,4,4,0,0,U1,9,1,1,50,18,0
1,2,4,1,1,17,29,28,4,4,0,0,U1,1,1,1,51,18,0
1,2,4,2,2,22,45,28,4,4,0,0,U1,4,1,1,17,17,0
4,2,6,1,1,18,35,56,4,4,0,0,U5,9,0,1,5,18,0
4,2,6,1,1,18,83,67,4,4,0,0,U5,9,1,1,7,18,0
1,4,4,1,1,19,44,25,4,4,0,0,U1,9,1,1,4,18,0
5,1,4,2,2,18,17,63,4,4,0,0,U1,9,1,1,23,18,0
4,9,1,1,2,14,39,56,4,4,0,0,U1,11,1,1,17,17,1
4,4,4,2,1,0,27,0,2,0,0,0,U2,7,1,0,23,0,0
4,1,6,1,0,17,41,0,4,0,0,0,U2,2,1,0,8,0,1
4,4,4,1,0,20,19,0,4,0,0,0,U1,2,1,0,18,0,0
4,1,6,1,0,18,67,0,4,0,0,0,U5,9,0,0,18,17,0
4,2,1,1,2,7,24,33,4,4,0,0,U5,9,4,1,4,18,0
4,1,6,1,0,22,40,0,4,0,0,0,U5,2,4,0,23,0,0
4,1,1,6,1,14,46,29,4,4,0,0,U5,11,1,1,5,18,0
4,2,4,2,2,19,61,59,2,4,0,0,U1,9,1,4,17,4,1
4,1,4,1,1,1,58,39,4,4,0,0,U5,11,2,1,5,18,0
4,1,6,2,1,17,66,27,4,4,0,0,U5,9,1,1,7,18,0
4,1,4,1,0,18,65,0,4,0,0,0,U1,2,1,0,1,0,0
4,1,4,1,2,17,33,58,4,4,0,0,U5,9,1,1,4,18,0
1,2,4,1,1,2,21,54,4,4,0.12,0,U1,9,1,1,1,18,0
4,2,1,1,1,16,23,24,4,4,0,0,U1,9,5,1,4,18,0
4,1,4,1,2,20,28,46,4,4,0,0,U1,9,1,1,7,18,0
4,2,4,1,0,19,24,0,4,0,0,0,U1,2,1,0,4,0,0
3,1,4,1,2,17,27,64,4,4,0,0,U1,4,1,1,5,18,1
4,2,4,1,0,17,35,0,4,0,0,0,U5,2,4,0,18,0,0
4,2,4,1,0,6,31,0,0,0,0,0,U1,2,2,0,1,0,0
4,4,1,2,10,8,26,45,4,4,0,0,R5,11,1,1,17,18,1
4,2,6,1,2,6,51,50,4,4,0,0,U1,11,4,1,18,5,0
1,2,1,1,1,11,53,42,4,4,0,0,U5,9,1,1,23,18,1
4,1,4,2,1,16,28,69,4,4,0,0,U5,10,1,1,16,18,0
5,1,6,1,0,6,33,0,4,0,0,0,U1,2,1,0,1,0,0
4,1,1,2,2,15,28,62,4,4,0,0,U5,9,1,1,4,18,0
5,2,1,1,1,12,45,76,0,4,0,0,U1,10,0,2,3,18,3
4,2,1,1,0,7,45,0,4,0,0,0,U1,3,1,0,16,0,0
5,2,3,2,0,16,43,0,4,0,0,0,R1,2,4,0,23,0,0
4,1,4,2,6,18,17,36,4,4,0,0,U5,11,1,0,5,18,0
5,1,1,1,3,15,70,52,4,4,0,0,U5,11,1,1,5,18,0
4,1,1,1,1,13,49,24,4,4,0,0,U5,9,1,1,4,18,0
4,1,4,2,1,17,62,35,4,4,0,0,U5,9,4,1,4,18,0
4,4,1,2,0,8,59,0,4,0,0,0,U5,2,4,0,4,0,0
3,2,1,1,2,10,37,0,4,0,0,0,U1,1,0,0,5,18,1
4,1,1,1,1,15,73,63,4,4,0,0,U5,9,1,1,4,18,0
4,1,1,1,2,11,42,37,4,4,0,0,U5,9,1,1,4,18,0
4,1,1,1,1,14,42,19,4,4,0,0,U5,11,1,1,23,23,0
4,1,1,1,2,13,28,61,4,4,0,0,U5,9,1,1,23,18,0
4,2,1,1,0,8,32,0,4,0,0,0,U5,2,1,0,4,0,0
1,1,1,2,1,16,20,34,0,4,0,0,U1,4,0,1,5,18,0
1,1,1,1,1,16,81,20,4,4,0,0,U1,1,0,1,5,18,0
4,2,6,2,1,19,19,19,0,0,0,0,U1,10,1,1,20,18,0
4,1,4,1,6,18,18,0,4,0,0,0,U5,9,1,0,17,18,1
4,1,4,1,1,18,41,31,4,4,0,0,U1,9,5,1,4,18,1
4,2,6,1,1,17,63,52,4,4,0,0,R2,9,1,1,7,18,1
4,4,6,2,0,22,18,0,4,0,0,0,R5,2,1,0,18,0,0
4,1,4,1,1,18,18,56,4,4,0,0,U5,11,1,1,23,18,0
1,1,4,2,2,20,31,57,4,4,0,0,U1,1,1,1,23,23,0
6,1,4,2,2,17,18,22,4,4,0,0,U2,1,1,1,5,18,0
4,2,4,1,1,22,22,89,4,4,0,0,U1,11,1,1,4,18,0
5,1,4,2,1,18,62,45,4,4,0,0,U2,9,1,1,7,18,1
1,1,1,2,1,13,56,68,4,4,0,0,U1,9,1,1,23,18,1
1,2,1,1,2,13,58,68,4,4,0,0,U1,4,1,4,5,18,0
1,1,4,2,2,21,37,46,2,4,0,0,U1,1,1,1,10,18,0
4,1,6,12,0,4,46,0,0,0,0,0,R1,3,0,0,17,0,2
4,1,1,2,6,8,47,56,2,4,0,0,U5,11,1,0,2,18,0
4,1,1,2,0,12,73,0,4,0,0,0,U1,3,1,0,18,0,0
4,2,4,1,3,5,40,46,4,4,0,0,U5,11,1,1,7,18,0
4,1,1,1,0,13,0,0,0,0,0,0,U5,2,0,0,17,0,0
4,2,1,1,1,9,41,52,4,4,0,0,U1,9,1,1,5,18,0
4,1,1,1,1,10,29,18,4,4,0,0,U5,9,1,1,50,18,1
4,1,1,1,1,14,20,24,4,4,0,0,U5,9,1,1,7,18,0
4,1,1,2,1,7,43,28,4,4,0,0,U5,11,1,1,17,17,0
4,2,4,2,2,7,30,43,4,4,0,0,U1,9,1,1,23,18,1
4,3,6,2,0,0,51,0,4,0,0,0,R2,2,1,0,1,0,0
1,1,4,2,2,17,34,47,4,4,0,0,U5,11,1,1,5,18,0
4,4,1,1,0,13,27,0,4,0,0,0,U5,2,0,0,23,0,0
2,1,1,1,2,12,24,35,0,4,0,0,U5,9,0,1,23,18,0
1,2,1,7,3,11,52,34,2,4,0,0,R5,10,1,1,17,18,0
1,2,4,2,1,17,28,35,4,4,0,0,U1,9,1,1,42,18,0
3,2,4,2,1,18,48,32,4,4,0,0,U1,11,1,1,2,18,0
1,1,1,2,1,12,0,19,0,4,0,0,U1,9,0,1,17,18,0
3,1,1,1,2,13,19,31,4,4,0,0,U2,1,1,1,5,18,0
3,2,1,1,1,14,42,34,4,4,0,0,U1,1,1,1,5,18,0
4,1,1,1,2,10,44,35,4,4,0,0,U1,9,1,1,7,16,1
1,4,1,1,1,8,25,34,0,4,0,0,U1,9,1,1,4,18,1
1,1,4,1,2,18,41,23,0,0,0,0,U5,4,1,1,11,18,0
1,1,3,1,2,16,27,35,4,4,0,0,U5,9,1,1,7,18,0
2,2,4,2,1,23,24,49,4,4,0,0,U5,9,1,0,4,18,0
4,1,4,1,1,17,36,20,4,4,0.07,0,U1,9,4,0,1,16,0
2,1,4,1,2,17,36,66,4,4,0,0,U1,11,1,1,18,6,0
3,1,1,2,2,12,21,38,4,2,0,0,U1,1,1,1,5,18,0
3,1,1,1,1,13,0,17,0,4,0,0,U1,1,0,1,5,18,1
1,1,4,1,1,22,61,43,4,4,0,0,U5,1,1,1,11,18,0
6,1,1,2,1,10,23,33,4,4,0,0,U2,1,0,1,5,18,0
1,1,1,1,2,16,30,61,4,4,0,0,U1,1,1,1,11,18,1
4,1,1,1,0,13,31,0,4,0,0,0,U2,2,1,0,48,0,0
4,1,1,1,2,15,27,22,4,4,0,0,U1,9,4,1,7,18,0
4,1,1,2,1,9,34,25,4,4,0,0,U5,11,1,1,5,18,0
4,1,4,1,2,6,23,59,4,4,0,0,U5,11,1,1,7,18,0
4,2,4,1,2,7,44,58,4,4,0,0,U5,9,1,1,7,18,1
4,1,1,1,1,15,21,41,4,4,0,0,U1,9,1,1,7,18,0
4,2,1,1,1,10,37,42,4,4,0,0,U1,9,1,1,7,18,0
4,1,1,1,1,15,23,50,4,4,0,0,U1,9,1,1,7,18,0
4,2,2,1,14,7,39,0,4,0,0,0,U1,7,4,0,17,0,0
5,1,1,1,2,11,32,66,4,4,0,0,U1,9,1,1,23,18,0
4,1,1,2,0,9,63,0,4,0,0,0,U5,2,1,0,17,0,0
1,1,1,2,2,13,36,65,4,4,0,0,U1,9,1,1,4,18,0
1,1,1,0,1,10,0,30,0,2,0,0,U1,11,0,1,5,18,2
4,4,1,2,0,8,17,0,4,0,0,0,R1,2,1,0,4,0,0
4,4,1,1,0,11,27,0,4,0,0,0,R1,2,1,0,4,0,0
1,1,1,1,1,15,34,17,4,4,0,0,U1,9,4,1,7,18,0
1,1,1,1,2,13,45,64,4,4,0,0,U1,9,4,1,23,18,0
1,1,1,1,1,16,31,46,4,4,0,0,U1,9,1,1,7,18,0
1,1,2,1,1,7,19,43,4,4,0,0,U1,9,1,1,7,18,0
1,4,4,2,1,6,31,36,4,4,0,0,U1,1,0,4,11,18,2
1,2,1,1,2,9,92,28,4,4,0,0,U2,10,1,1,10,18,0
4,1,1,1,2,10,35,49,4,0,0,0,U1,11,1,0,5,18,0
4,1,1,1,0,10,20,0,4,0,0,0,U5,2,1,0,4,0,0
1,2,1,2,2,15,38,62,4,4,0,0,U5,10,1,1,24,18,0
2,2,1,1,1,11,25,17,4,4,0,0,U2,9,1,1,7,18,0
4,2,6,2,0,6,63,0,4,0,0,0,R1,6,1,0,4,0,0
4,4,6,2,0,7,26,0,4,0,0,0,R1,6,1,0,4,0,0
4,4,6,2,1,7,26,49,4,4,0,0,R1,9,0,0,5,18,1
1,4,6,2,1,5,28,61,4,4,0,0,R1,9,0,0,4,18,1
4,2,1,1,0,11,19,0,4,0,0,0,R3,2,4,0,4,0,1
3,1,4,1,1,17,49,32,4,4,0,0,U1,4,1,1,5,18,0
1,1,1,2,2,15,32,58,4,4,0,0,U1,9,1,1,5,18,0
4,2,1,0,0,11,0,0,0,0,0,0,U5,2,0,0,4,0,0
7,1,2,1,1,7,48,32,4,4,0,0,R3,9,0,1,7,18,0
B,4,1,1,6,8,21,0,4,4,0,0,U1,11,1,1,17,17,0
4,4,6,2,0,5,26,0,4,0,0,0,U5,6,0,0,4,0,0
4,1,1,1,2,16,25,26,4,4,0,0,U5,9,1,1,4,18,0
3,1,1,2,0,13,71,0,4,0,0,0,R2,10,1,0,23,6,0
4,1,1,2,0,15,25,0,4,0,0,0,R2,2,1,0,17,0,0
4,2,1,2,2,9,55,24,4,4,0,0,U2,9,1,1,50,18,1
4,1,4,1,1,23,36,27,4,4,0,0,U5,5,1,1,33,18,0
4,1,4,1,1,18,22,47,4,4,0,0,U5,9,1,1,4,18,0
4,1,4,2,2,17,54,20,4,4,0,0,U1,9,1,1,23,18,0
5,1,4,2,1,19,52,20,4,4,0,0,U1,9,0,4,17,17,1
1,1,4,2,2,17,36,56,4,4,0,0,U1,9,1,1,7,18,1
4,1,4,1,1,18,57,43,4,4,0,0,U5,9,1,1,4,18,0
1,1,6,1,1,19,60,17,4,4,0,0,U1,9,1,1,23,18,1
4,4,6,1,0,23,23,0,4,0,0,0,U5,2,4,0,18,0,2
4,1,5,2,2,18,30,0,4,0,0,0,U5,11,1,0,18,5,0
4,4,6,2,0,23,55,0,4,0,0,0,U5,2,5,0,17,0,0
4,4,6,1,0,20,38,0,4,0,0,0,U1,3,1,0,17,0,0
4,8,4,1,0,4,57,0,4,0,0,0,U5,2,1,0,17,0,0
4,1,4,1,2,17,53,29,4,4,0,0,U5,9,1,1,4,18,0
1,1,4,1,0,18,57,15,4,0,0,0,R2,8,1,0,18,5,3
4,1,4,1,0,0,42,0,4,0,0,0,U1,2,1,0,4,0,0
1,1,4,1,1,20,43,37,4,4,0,0,U1,4,5,1,5,18,0
4,1,4,1,2,19,26,52,4,4,0,0,U5,9,1,1,4,18,0
4,2,1,1,2,16,19,54,4,4,0,0,U5,11,1,1,32,18,0
2,1,1,1,1,16,37,25,4,4,0,0,U1,9,4,0,4,18,1
2,1,4,2,1,18,55,44,4,4,0,0,U1,9,1,1,18,4,0
1,2,4,2,1,17,32,28,4,4,0,0,U1,1,1,1,11,18,0
3,2,1,2,2,15,27,25,4,4,0,0,R2,1,1,1,5,18,0
1,1,4,1,1,22,17,19,4,4,0,0,U2,9,1,1,5,18,0
1,1,1,2,2,10,25,71,1,4,0,0,U1,4,1,1,2,18,4
6,2,1,1,1,11,20,43,2,4,0,0,U1,1,0,1,5,18,1
3,2,1,2,1,11,74,64,4,4,0,0,U1,1,1,1,5,18,0
5,1,1,2,2,14,35,50,0,4,0,0,U1,9,1,1,7,18,0
4,2,1,1,1,13,28,28,4,4,0,0,U1,11,1,1,5,18,0
1,2,1,2,1,12,18,85,4,4,0,0,U1,9,1,1,7,18,1
5,2,1,1,2,11,19,77,4,4,0,0,R5,11,1,1,4,18,0
4,1,4,3,2,6,29,38,4,4,0,0,U5,9,1,1,4,18,1
4,1,4,1,2,6,25,20,4,4,0,0,U5,9,1,1,4,18,0
4,1,1,1,0,15,31,0,4,0,0,0,U1,2,1,0,18,0,0
4,1,4,1,1,6,19,28,4,4,0,0,U5,9,1,1,7,18,0
4,2,1,1,0,13,22,0,4,0,0,0,U5,2,0,0,4,0,0
1,2,1,1,0,15,24,0,4,0,0,0,U1,2,1,0,4,0,0
2,2,1,1,1,12,19,83,4,4,0,0,U1,9,1,1,4,18,0
4,4,1,1,2,10,46,55,4,4,0,0,U1,9,1,0,48,18,1
1,1,4,2,1,17,27,47,4,4,0,0,U1,9,1,0,24,18,0
1,1,3,1,1,16,43,38,4,1,0,0,U1,9,1,1,23,18,0
4,2,4,1,1,7,36,24,4,4,0,0,U5,9,1,1,4,18,0
1,1,4,1,2,20,26,42,2,2,0,0,U1,4,4,1,5,18,1
1,2,4,2,2,23,0,49,0,4,0,0,U1,1,0,1,17,18,1
4,1,4,1,0,2,0,0,0,0,0,0,U5,2,0,0,17,0,0
1,1,1,1,1,14,55,24,4,4,0,0,U1,9,1,1,17,17,1
1,1,4,2,0,6,42,48,4,0,0,0,U5,8,1,0,22,18,2
4,1,1,1,0,15,24,0,4,0,0,0,U5,2,1,0,4,0,0
4,1,1,1,1,14,29,55,4,4,0,0,U5,9,1,1,17,18,0
4,1,1,2,2,13,26,24,4,4,0,0,U2,9,1,1,40,18,0
1,2,4,3,2,16,61,31,4,4,0,0,U1,10,1,1,24,18,0
1,2,4,1,2,20,17,56,4,4,0,0,U1,4,5,1,5,18,0
4,2,4,1,0,16,39,0,4,0,0,0,U5,2,1,0,7,0,0
4,2,4,1,2,16,29,30,4,4,0,0,U5,11,1,1,5,18,0
4,1,3,1,0,17,32,0,4,0,0,0,U5,2,1,0,4,0,0
4,2,4,1,0,21,30,0,4,0,0.4,0,U5,2,5,0,1,0,2
4,2,4,1,1,17,59,23,4,4,0,0,U5,9,1,1,7,18,0
4,2,4,3,1,17,49,50,4,4,0,0,U5,9,1,1,5,5,0
4,2,4,1,0,18,20,0,4,0,0,0,U5,2,0,0,50,0,0
4,2,4,1,0,20,23,0,4,0,0,0,U5,2,4,0,4,0,1
4,2,4,2,1,16,22,36,4,4,0,0,U5,9,0,5,23,18,1
1,2,4,1,1,19,27,32,4,4,0,0,U2,1,1,1,11,18,2
4,2,1,1,2,13,31,24,4,4,0,0,U2,11,1,1,5,18,0
4,4,6,2,0,4,30,0,4,0,0,0,U5,6,1,0,17,0,0
1,2,4,1,1,22,38,43,4,4,0,0,U1,4,5,5,17,17,0
6,2,4,1,0,18,33,49,4,0,0,0,U1,8,1,0,17,18,1
4,2,4,1,0,23,47,0,4,0,0,0,U1,3,2,0,16,0,0
1,2,4,1,1,17,0,70,0,4,0,0,U1,9,0,1,7,18,0
5,2,4,1,1,17,24,29,4,4,0,0,U1,11,1,1,23,18,0
5,4,1,2,1,8,24,53,4,4,0,0,U1,5,1,4,4,18,2
1,1,1,2,1,7,29,62,4,4,0,0,U1,4,1,1,5,18,0
1,2,1,2,1,15,0,70,0,4,0,0,U1,9,0,1,17,18,1
3,1,1,2,1,15,38,86,4,4,0,0,U1,4,1,1,5,18,0
4,2,4,1,2,17,30,44,4,4,0,0,U1,11,1,1,5,18,0
3,2,1,1,1,15,33,65,4,4,0,0,U2,4,1,1,10,18,0
4,1,1,1,0,9,0,0,4,0,0,0,U5,2,5,0,23,0,0
4,2,2,1,0,7,33,0,4,0,0,0,U1,2,4,0,41,0,1
4,1,1,2,1,14,42,46,4,4,0,0,U1,10,1,5,4,18,0
4,1,1,6,1,8,38,32,4,4,0,0,U5,9,1,1,4,18,0
1,2,3,1,1,16,61,55,4,4,0,0,U1,1,1,1,5,18,1
4,2,1,1,3,11,78,53,4,4,0,0,U2,7,1,1,24,18,0
6,2,3,2,2,16,54,52,4,4,0,0,U1,1,1,0,5,18,0
4,2,1,6,0,14,35,0,4,0,0,0,U5,2,1,0,16,0,0
4,1,1,1,0,8,56,0,4,0,0,0,U5,3,1,0,23,0,0
1,1,6,2,2,5,54,63,4,4,0,0,U1,1,4,4,11,18,0
4,1,9,2,2,14,42,28,4,4,0,0,U1,10,1,1,17,18,0
1,1,1,2,2,11,60,26,4,4,0,0,U1,9,1,1,4,18,0
4,4,6,1,0,7,30,0,4,0,0,0,R1,6,1,0,4,0,1
1,2,1,1,0,11,23,0,0,0,0,0,U5,2,0,0,17,0,0
4,1,1,3,2,8,26,42,4,4,0,0,U1,9,1,1,4,18,0
4,1,1,1,1,12,63,62,4,4,0,0,U5,9,1,1,4,18,0
4,1,1,1,1,14,24,56,4,4,0,0,U5,9,1,1,4,18,0
4,1,1,1,2,15,20,66,4,4,0,0,U5,9,1,1,23,18,0
4,1,1,1,2,14,41,64,4,4,0,0,U5,9,1,1,4,18,0
4,1,4,3,1,6,49,46,4,4,0,0,U5,11,1,1,23,18,0
4,1,1,2,1,12,19,23,4,4,0,0,U5,9,1,1,23,18,0
4,1,1,2,2,13,55,70,4,4,0,0,U5,9,1,1,4,18,2
4,1,4,1,1,7,24,45,4,4,0,0,U5,9,1,1,7,18,0
4,1,1,1,1,8,36,30,4,4,0,0,U1,9,1,1,7,18,0
4,2,1,2,0,8,38,0,4,0,0,0,U1,2,1,0,31,0,0
1,2,4,1,1,19,18,40,4,4,0,0,U2,4,0,4,23,18,0
1,2,4,1,2,17,17,33,4,4,0,0,U1,9,1,1,50,18,1
7,2,1,1,1,14,32,67,4,4,0,0,U1,11,1,1,5,18,1
6,1,1,1,1,9,82,24,0,0,0,0,U1,1,1,1,23,18,0
1,2,4,1,1,18,22,17,4,4,0,0,U1,1,1,1,4,18,0
3,2,4,1,0,18,26,39,0,0,0,0,U1,8,1,0,23,18,1
1,2,1,1,1,8,22,41,4,4,0,0,U1,1,4,4,11,18,0
1,1,1,2,1,14,27,33,4,4,0,0,U1,9,1,1,4,18,0
1,2,4,2,1,7,50,43,4,4,0,0,U2,5,1,1,10,18,0
4,4,6,1,0,6,55,0,4,0,0,0,U2,2,1,0,4,0,0
4,8,6,1,0,0,25,0,4,0,0,0,R3,2,1,0,23,0,0
6,1,4,1,1,23,17,21,4,4,0.07,0,U2,4,1,1,1,18,0
4,2,4,1,2,21,38,35,4,4,0,0,U5,9,0,1,7,18,1
4,2,4,1,2,5,22,34,4,4,0,0,U1,9,4,1,23,18,0
1,2,1,1,1,13,21,21,4,4,0,0,U1,9,1,1,50,18,0
3,2,4,1,1,17,46,35,4,4,0,0,U1,10,1,1,10,18,0
1,1,3,2,2,16,17,63,4,4,0,0,U1,1,1,1,11,18,0
4,1,6,1,1,17,42,30,4,4,0,0,U5,9,1,1,23,18,0
4,2,4,1,1,18,30,55,4,4,0,0,U5,9,1,1,4,18,1
4,2,4,1,1,17,20,27,4,4,0,0,U5,9,1,1,7,18,0
4,1,4,6,0,18,46,0,4,0,0,0,U5,3,1,0,17,0,0
4,2,4,2,0,19,63,0,4,0,0,0,U2,2,1,0,31,0,0
4,1,1,1,2,16,20,17,4,4,0,0,U2,9,1,1,7,18,0
1,1,4,1,1,23,29,42,4,4,0,0,U1,1,2,1,12,18,0
6,1,4,1,1,18,49,54,4,4,0,0,U1,10,1,1,18,24,0
4,1,1,1,1,14,34,47,4,4,0,0,U1,11,1,1,23,23,0
1,1,1,1,2,14,24,27,4,4,0,0,U1,10,1,1,23,18,0
1,1,1,2,2,12,42,57,0,0,0,0,U1,11,1,0,5,18,0
3,2,4,2,2,17,45,35,4,4,0,0,R3,9,5,1,18,45,0
1,2,4,1,2,19,21,58,2,2,0,0,U1,9,1,1,4,18,1
1,2,1,2,1,12,82,58,4,4,0,0,U2,1,1,1,11,18,0
1,1,1,1,10,14,57,56,4,4,0,0,U1,9,1,1,7,18,0
1,2,1,1,1,8,29,24,4,4,0,0,U1,4,1,5,5,17,0
1,2,4,1,1,18,41,57,4,4,0,0,U1,9,1,1,4,18,1
1,2,4,7,2,6,32,17,4,4,0,0,U1,1,0,1,11,18,0
4,2,1,2,0,16,49,0,0,0,0,0,U2,2,1,0,2,0,0
1,2,3,2,2,16,66,56,4,4,0,0,U1,9,1,1,7,18,1
1,1,1,2,1,15,27,80,0,0,0,0,U1,1,1,1,11,18,1
1,1,1,2,1,15,65,31,4,4,0,0,U1,9,1,1,23,18,0
1,2,6,1,2,17,43,30,4,4,0,0,U1,1,1,1,21,18,0
1,2,4,1,1,19,44,66,4,4,0,0,U1,11,1,1,5,18,0
1,2,6,1,1,19,27,57,4,4,0,0,U2,4,1,4,11,18,0
4,1,6,2,0,22,42,0,4,0,0.09,0,U2,2,1,0,1,0,0
4,1,1,1,1,16,65,24,4,4,0,0,U5,11,1,1,5,18,0
4,2,4,2,2,17,24,60,4,4,0,0,U5,9,4,1,4,18,1
1,2,4,1,0,17,30,0,4,0,0,0,U5,2,1,0,4,0,0
4,2,4,1,0,22,28,0,4,0,0,0,U5,2,1,0,4,0,0
4,1,4,2,2,18,16,36,4,4,0,0,U1,9,1,1,4,18,0
4,2,6,2,1,19,46,23,4,4,0.19,0,U5,9,1,1,1,18,0
4,1,4,1,1,17,63,19,4,4,0,0,U5,9,1,1,4,18,0
4,1,4,1,2,18,22,61,4,4,0,0,U5,9,1,1,4,18,0
1,1,4,1,2,18,25,28,4,4,0,0,U5,11,0,1,5,18,0
4,1,6,1,1,18,32,32,4,4,0,0,U5,9,1,1,4,18,0
1,1,4,2,1,17,31,28,4,4,0,0,U1,1,1,1,5,18,0
4,1,3,2,2,16,39,35,4,4,0,0,U1,11,1,1,5,18,0
4,2,6,1,0,20,57,36,4,0,0,0.13,R3,8,1,0,2,21,4
4,1,1,1,1,12,24,49,4,4,0,0,U1,9,1,1,7,18,0
4,1,1,2,2,15,53,28,4,4,0,0,R2,10,1,1,17,18,0
6,2,1,1,1,15,42,73,4,4,0,0,U1,1,0,1,5,18,0
1,1,1,3,1,11,41,54,4,4,0,0,U1,9,1,1,7,18,0
1,2,4,1,1,17,45,69,4,4,0,0,U2,9,4,0,7,18,1
1,2,1,2,1,12,83,27,4,4,0,0,U1,4,1,0,5,18,0
1,2,1,2,1,13,18,25,4,4,0,0,U1,9,0,1,7,18,0
1,2,1,1,1,15,27,26,4,4,0,0,U2,9,4,1,23,18,1
3,2,1,1,2,12,51,64,4,4,0,0,U1,11,1,1,5,18,0
4,1,1,1,1,9,20,40,4,4,0,0,U5,9,1,1,7,18,0
5,2,4,1,0,19,20,0,4,0,0,0,U5,2,1,0,4,0,0
5,2,1,2,0,15,44,0,4,0,0,0,R5,2,5,0,14,0,1
4,1,4,2,1,6,20,41,4,4,0,0,U5,11,1,1,23,18,0
4,1,1,1,1,13,34,59,4,4,0,0,U5,11,1,1,4,18,0
4,1,1,2,0,11,52,0,4,0,0,0,R2,2,1,0,23,0,0
1,4,1,1,0,8,17,0,4,0,0,0,U1,2,1,0,4,0,0
4,1,1,1,0,10,42,0,4,0,0,0,U1,2,1,0,4,0,0
1,4,4,1,6,4,27,54,4,4,0,0,R5,11,1,1,10,18,0
4,1,6,1,0,6,24,0,4,0,0,0,U5,2,1,0,18,0,0
4,1,4,1,1,19,47,24,4,4,0,0,U5,9,1,1,7,5,0
4,1,1,1,1,15,21,0,4,4,0,0,U5,11,1,1,5,18,0
4,1,1,2,1,14,41,53,4,4,0,0,U5,9,1,1,7,18,1
5,1,5,2,1,18,0,37,0,4,0,0,U5,9,0,1,7,18,0
1,2,3,2,1,16,39,48,4,4,0,0,U1,9,1,1,7,18,0
3,2,1,2,1,14,43,32,0,4,0,0,U1,1,0,1,5,18,0
1,2,4,2,2,19,62,89,1,4,0,0,U1,4,1,1,11,18,1
1,2,1,1,2,7,29,36,4,4,0,0,U1,9,1,1,4,18,0
4,1,1,1,0,15,21,0,4,0,0,0,U1,2,1,0,4,0,1
